KC,CKCU,EKCU,KCBU,KCNU,KCOU
KD,BKDU,KDCU,KDEU,KDYU,LKDU
KE,CKEU,KEMU,KENU,KERU,KEYU
KF,CKFU,KFRU,KFTU,KKFU,KLFU
KG,BKGU,KGPU,KGSU,KIGU,AAGU
KH,CKHU,HKHU,KHJU,KHLU,RKHU
KI,KIGU,KILU,KIVU,SKIU,TKIU
KJ,KJCU,KHJU,AGKU,AKBU,AKKU
KL,AKLU,CKLU,DKLU,EKLU,KKLU
KM,AKMU,BKMU,IKMU,KMAU,KMBU
KN,CKNU,HKNU,KNHU,KNLU,KNTU
KO,AKOU,DKOU,EKOU,KOCU,KONU
KP,KPCU,KPKU,KPSU,KCPU,KGPU
KQ,KQTU,AGKU,AKBU,AKKU,AKLU
KR,CKRU,GKRU,KRCU,KRFU,KRIU
KS,CKSU,IKSU,KSAU,KSFU,KSIU
KT,CKTU,EKTU,HKTU,KKTU,KTCU
KU,AGKU,AKKU,ALKU,ARKU,ASKU
KV,AKVU,KVOU,MKVU,KIVU,AEVU
KW,BKWU,KKWU,KWCU,KWKU,KWTU
KX,CKXU,KXTU,ACXU,ADXU,AEXU
KY,EKYU,KYSU,MKYU,SKYU,KDYU
KZ,KZEU,KAZU,KSZU,KTZU,AGKU
LA,ALAU,DLAU,ELAU,GLAU,KLAU
LB,ALBU,ELBU,FLBU,GLBU,HLBU
LC,ALCU,CLCU,ELCU,FLCU,HLCU
LD,CLDU,FLDU,GLDU,KLDU,LDRU
LE,ALEU,BLEU,CLEU,ELEU,HLEU
LF,ALFU,DLFU,ELFU,FLFU,ILFU
LG,ALGU,ELGU,HLGU,ILGU,JLGU
LH,ALHU,CLHU,DLHU,LHEU,LHZU
LI,ALIU,BLIU,CLIU,JLIU,KLIU
LJ,ALJU,BLJU,CLJU,SLJU,ABLU
LK,ALKU,BLKU,CLKU,DLKU,ELKU
LM,ALMU,DLMU,HLMU,LMCU,LMEU
LN,ALNU,KLNU,LLNU,LNDU,LNGU
LO,ALOU,CLOU,FLOU,GLOU,KLOU
LP,ALPU,BLPU,CLPU,ELPU,GLPU
LQ,CLQU,GLQU,LIQU,ABLU,ACLU
