bicCode,Country,City,Company
IECU,Guam,TAMUNING,MARIANAS GAS CORPORATION DBA ISLAND EQUIPMENT CO
IFFU,United Kingdom,"Hull, HU3 4AE",DEN HARTOGH DRY BULK LOGISTICS LTD
IFLU,United Kingdom,"LONDON, EC3A 7LP",INTERFLOW (T.C.S.) LTD
IFTU,Germany,LEIPZIG,LEIBNIZ INSTITUT FOR TROPOSPHERIC RESEARCH
IGEU,Ireland,Dublin,ALPSANNA LIMITED
IGLU,Singapore,Singapore,IGLU GROUP PTE LTD
IGSU,Germany,Nuernberg,CDN CONTAINER DEPOT NUERNBERG GMBH
IHOU,United States,"HOUSTON,TX 77064",INTERMODAL TANK TRANSPORT INC.
IHTU,Netherlands,OSS,ITC HOLLAND TRANSPORT B.V
IICU,Japan,OSAKA,IWATANI CORPORATION
IISU,Switzerland,Massagno,INTERTRADE INTERNATIONAL SERVICES
IJCU,Denmark,GENTOFTE,IJ-CONTAINER APS
IJSU,Belgium,MEISE (EVERSEM),IJSFABRIEK STROMBEEK NV
IKKU,Barbados,BRIDGETOWN BB11144,SEACO SRL
IKMU,United Arab Emirates,DUBAI,LLOYDS MARITIME & TRADING LIMITED
IKSU,United States,"PURCHASE, NY 10577-2135",TAL INTERNATIONAL
ILBU,Netherlands,Oss,ILB INTERFREIGHT LOGISTICS BENELUX BV
ILCU,India,CALCUTTA,TRANSAFE SERVICES LIMITED
ILFU,Russian Federation,Irkutsk,ООО «IRKUTSK OIL COMPANY»
ILGU,Austria,LINZ,ILGINNOVATIVE LOGISTICS GROUP GMBH
ILKU,India,"GURGAON, HARYANA",INNOVATIVE B2B LOGISTICS SOLUTIONS PRIVATE LIMITED
ILTU,Netherlands,ROTTERDAM,SOLVOCHEM HOLLAND BV
ILUU,United States,"WASHIGTON, DC 20036",INSTITUTE OF INT CONTAINER LESSORS (IICL)
IMEU,Spain,MADRID,EJERCITO DE TIERRA - MINISTERO DE DEFENS
IMIU,Argentina,BUENOS AIRES,SULLAIR ARGENTINA S.A.
IMMU,Mexico,"SAN LUIS POTOSI, SLP",INDUSTRIAS MONFEL S.A. DE C.V.
IMPU,Germany,DUISBURG,IMPERIAL CHEMICAL TRANSPORT GMBH
IMSU,Italy,NARNI SCALO (TR),IMMOBILIARE STELLA SRL
IMTU,Italy,TRIESTE TS,ITALIA MARITTIMA S.P.A
IMWU,Spain,GIJON ASTURIAS,IMWATER TREATMENT PLANTS S.L
INBU,United States,"WOODCLIFF LAKE, N.J. 07677",SEACUBE CONTAINERS LLC
INCU,Singapore,Singapore,INNOVACION CONTENEDOR PTE LTD
INDU,Spain,ANGLESOLA,INDOX ENERGY SYSTEMS SL
INFU,Austria,BRUCK AN DER MUR,INNOFREIGHT SPEDITIONS GMBH
INGU,Netherlands,DORDRECHT,TRIFLEET LEASING HOLDING B.V.
INIU,Italy,LIMITO DI PIOLTELLO (MI),INNOCENTI DEPOSITI SPA
INKU,United States,"WOODCLIFF LAKE, N.J. 07677",SEACUBE CONTAINERS LLC
INLU,Singapore,Singapore,TRANSLINER PTE  LTD
INNU,United States,"WOODCLIFF LAKE, N.J. 07677",SEACUBE CONTAINERS LLC
INRU,Russian Federation,Moscow,"LOGITEX INVEST, LLC"
INSU,Poland,ZORY,INSTANTA
INTU,United States,"WOODCLIFF LAKE, N.J. 07677",SEACUBE CONTAINERS LLC
INVU,Ukraine,Mariupol,INGAS LLC
IOUU,HK,HONG KONG,TRANS DISTANCE LINE LTD
IPFU,France,PLOUZANE,INSTITUT POLAIRE FRANCAIS PAUL-EMILE VICTOR
IPGU,Australia,LANDSDALE,INSTANT PRODUCTS GROUP PTY LTD
IPIU,Philippines,Olongapo,"IRIS LOGISTICS, INC."
IPMU,France,Le Passage,IPM TECHNOLOGIES
IPOU,Estonia,Tallinn,INTERMODAL PARTNERSHIP OU
IPSU,Australia,"BELLA VISTA, NSW 2153",INTERMODAL SOLUTIONS GROUP PTY LTD
IPXU,United States,"WOODCLIFF LAKE, N.J. 07677",SEACUBE CONTAINERS LLC
IRIU,Australia,Brooklyn,IRS INTERNATIONAL
IRKU,Russian Federation,"Shelehov, Irkutskaya oblast",LTD IRTEK
IRNU,United States,"WOODCLIFF LAKE, N.J. 07677",SEACUBE CONTAINERS LLC
IRSU,"Iran, Islamic Republic of",TEHRAN,ISLAMIC REPUBLIC OF IRAN SHIPPING LINES (IRISL)
ISAU,Sweden,GOTHENBURG,NORDIC BULKERS AB
ISCU,Spain,ALGECIRAS,STAR CONTAINER SPAIN S.A.
ISDU,India,BANGALORE,ISRO DEPARTMENT OF SPACE GOVT OF INDIA
ISLU,India,Mumbai,"INDUSTRIAL SOLVENTS & CHEMICALS PVT, LTD"
ISRU,Cyprus,NICOSIA,ISR INVESTMENTS LIMITED
ISSU,Panama,PANAMA CITY,AMERICA S TANK CONTAINER SERVICE INC. (ATCOS INC)
ITAU,Germany,HAMBURG,HAPAG LLOYD A.G
ITCU,Spain,ALFAFAR-VALENCIA,INTERCONTAINER S.A.
ITDU,Italy,FERENTINO (FR),INTERMODALTRASPORTI SRL
ITEU,Belgium,Genk,MOVE INTERMODAL NV
ITGU,Turkey,KOCAELİ,ITT ULUSLARARASIŞ TAŞ SAN.TIC LTD ŞTI.
ITKU,Brazil,RIO DE JANEIRO,INTERTANK LTDA
ITLU,Barbados,BRIDGETOWN BB11144,SEACO SRL
ITOU,Japan,Tokyo,ITOCHU CORPORATION
ITQU,Italy,Ponticino,ITAC SPA
ITSU,Singapore,SINGAPORE,E-WAY ALLIANCE (INTERNATIONAL) PTE LTD
ITTU,United States,"HOUSTON,TX 77064",INTERMODAL TANK TRANSPORT INC.
ITXU,United States,"NEWARK, NJ 07105",INTERPORT MAINTENANCE CO INC
IVLU,Germany,HAMBURG,HAPAG LLOYD A.G
IWGU,Germany,PRISDORF,IWS INTERNATIONALE WEIN UND SPIRITUOSEN TRANSPORTE GMBH
IWLU,Switzerland,Geneva,IMPALA TERMINALS SWITZERLAND SARL
IWRU,Germany,PRISDORF,IWS RUSSIA GMBH
IWTU,Netherlands,ROTTERDAM-HOOGVLIET,INTERNATIONAL WAREHOUSING AND TRANSPORT
IXMU,Australia,East Melbourne,IXOM OPERATIONS PTY LTD
IXWU,Netherlands,Rotterdam,EUROTAINER SA
IXXU,Germany,BAD CAMBERG,INDAIA LOGISTIK GMBH
IZOU,Russian Federation,ST. PETERSBURG,IZOTOP ST PETERSBURG JSC
JAAU,Jordan,AMMAN,JORDAN BROMINE COMPANY LIMITED
JACU,South Africa,DURBAN KZN,ALPHA SHIPPING AGENCY (PTY) LTD
JAHU,Chile,Viña del Mar,CONTAINER STORE SPA
JAMU,Spain,PAMPLONA,JAMM RENTING SL
JAYU,India,NEW BOMBAY,JAY CONTAINER SERVICES COMPANY PVT. LTD.
JBBU,France,VAULX-EN-VELIN,SUEZ RV OSIS SUD EST
JBKU,United States,"AMARILLO,TX 79124",SPECIALTY TRAILER LEASING INC
JBTU,Netherlands,'s-Hertogenbosch,L & T B.V.
JCFU,Brazil,MACAE,JC FRAGOSO REPAROS ME
JCJU,"Taiwan, China",KAOHSIUNG CITY,CASHIHOR ENTERPRISE CO LTD
JDNU,Belgium,HOFSTADE,JAN DE NUL NV
JDSU,China,Weihai,"WEIHAI JIAODONG INTERNATIONAL CONTAINER SHIPPING CO ., LTD"
JDTU,Netherlands,Herkenbosch,INT. TRANSPORT COMPANY JAN DOHMEN BV
JDZU,Netherlands,ZAANDAM,JANSENS & DIEPERINK
JENU,Austria,Jenbach,INNIO JENBACHER GMBH & CO OG
JFSU,India,TUTICORIN,ST JOHN FREIGHT SYSTEMS LTD
JGFU,Japan,Yokohama,JAPAN GROUND SELF DEFENSE FORCE
JGRU,United Kingdom,GLASGOW G52 4XB,JOHN G.RUSELL (TRANSPORT) LTD
JHCU,Germany,ENNIGERLOH,HAMMELMANN TRANSPORT GMBH
JHGU,"Taiwan, China",TAOYUAN COUNTY,"JING HE SCIENCE CO, LTD"
JHTU,HK,HONG KONG,JUHUA TRADING (HONG KONG) LIMITED
JJAU,China,Jingjiang,"JINGJIANG ASIAN-PACIFIC LOGISTICS EQUIPMENT  CO.,LTD"
JJDU,France,CHAMBLY,ITEC ENGINEERING
JJFU,Spain,Molina de segura,JJ FORWARDER SL
