2024-10-02 12:28:16,887 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:37,044 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:37,326 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:37,366 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:43,880 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:43,919 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:44,000 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:44,021 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:44,038 - LOGGER - INFO - This is an info message.
2024-10-02 12:54:56,665 - LOGGER - INFO - right, :拼图的图片数量为:5
2024-10-02 12:55:08,894 - LOGGER - INFO - right, :拼图的图片数量为:6
2024-10-02 12:56:42,899 - LOGGER - ERROR - front:图片断流
2024-10-02 12:56:49,131 - LOGGER - ERROR - front:图片断流
2024-10-02 12:56:49,197 - LOGGER - ERROR - rear:图片断流
2024-10-02 12:56:49,213 - LOGGER - ERROR - right:图片断流
2024-10-02 12:56:49,246 - LOGGER - ERROR - left:图片断流
2024-10-02 12:56:49,285 - LOGGER - ERROR - top:图片断流
2024-10-02 12:56:53,344 - LOGGER - INFO - left, :拼图的图片数量为:1605
2024-10-02 12:56:54,508 - LOGGER - INFO - right, :拼图的图片数量为:41
2024-10-02 12:56:58,476 - LOGGER - INFO - right, :拼图的图片数量为:15
2024-10-02 12:58:09,651 - LOGGER - ERROR - rear:图片断流
2024-10-02 12:58:10,308 - LOGGER - ERROR - right:图片断流
2024-10-02 12:58:40,747 - LOGGER - ERROR - left:图片断流
2024-10-02 12:58:48,892 - LOGGER - ERROR - ImageCaptureProcess---front:图片读取有问题
2024-10-02 12:58:55,866 - LOGGER - ERROR - right:图片断流
2024-10-02 12:59:03,882 - LOGGER - ERROR - left:图片断流
2024-10-02 12:59:26,514 - LOGGER - ERROR - rear:图片断流
2024-10-02 12:59:34,954 - LOGGER - ERROR - left:图片断流
2024-10-02 13:00:11,443 - LOGGER - ERROR - right:图片断流
2024-10-02 13:00:22,132 - LOGGER - ERROR - top:图片断流
2024-10-02 13:00:42,186 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:00:42,565 - LOGGER - ERROR - left:图片断流
2024-10-02 13:01:33,019 - LOGGER - ERROR - left:图片断流
2024-10-02 13:01:33,201 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:01:39,842 - LOGGER - ERROR - right:图片断流
2024-10-02 13:02:06,409 - LOGGER - ERROR - top:图片断流
2024-10-02 13:02:05,902 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:02:06,240 - LOGGER - ERROR - ImageCaptureProcess---left:图片读取有问题
2024-10-02 13:02:06,619 - LOGGER - ERROR - right:图片断流
2024-10-02 13:02:33,481 - LOGGER - ERROR - top:图片断流
2024-10-02 13:02:34,045 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:02:34,412 - LOGGER - ERROR - right:图片断流
2024-10-02 13:03:37,782 - LOGGER - ERROR - right:图片断流
2024-10-02 13:03:38,263 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:03:44,418 - LOGGER - ERROR - top:图片断流
2024-10-02 13:03:48,912 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:03:48,935 - LOGGER - ERROR - right:图片断流
2024-10-02 13:04:58,584 - LOGGER - ERROR - right:图片断流
2024-10-02 13:05:01,700 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:05:01,495 - LOGGER - ERROR - top:图片断流
2024-10-02 13:05:11,447 - LOGGER - ERROR - right:图片断流
2024-10-02 13:05:11,503 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:05:12,020 - LOGGER - ERROR - top:图片断流
2024-10-02 13:05:56,497 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:05:57,091 - LOGGER - ERROR - right:图片断流
2024-10-02 13:05:57,237 - LOGGER - ERROR - top:图片断流
2024-10-02 13:06:26,812 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:06:26,812 - LOGGER - ERROR - right:图片断流
2024-10-02 13:06:26,812 - LOGGER - ERROR - top:图片断流
2024-10-02 13:06:36,579 - LOGGER - ERROR - right:图片断流
2024-10-02 13:06:36,533 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:07:36,177 - LOGGER - ERROR - top:图片断流
2024-10-02 13:07:36,178 - LOGGER - ERROR - right:图片断流
2024-10-02 13:07:40,705 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:08:22,794 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:08:37,198 - LOGGER - ERROR - right:图片断流
2024-10-02 13:08:46,458 - LOGGER - ERROR - top:图片断流
2024-10-02 13:08:46,832 - LOGGER - ERROR - right:图片断流
2024-10-02 13:08:46,460 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:09:55,256 - LOGGER - ERROR - top:图片断流

2024-10-02 13:10:09,607 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:10:51,243 - LOGGER - ERROR - top:图片断流
2024-10-02 13:10:50,255 - LOGGER - ERROR - right:图片断流
2024-10-02 13:12:35,871 - LOGGER - ERROR - right:图片断流
2024-10-02 13:12:36,054 - LOGGER - ERROR - top:图片断流
2024-10-02 13:12:35,613 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:13:32,209 - LOGGER - ERROR - top:图片断流
2024-10-02 13:13:32,340 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:14:21,815 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:14:22,895 - LOGGER - ERROR - top:图片断流
2024-10-02 13:14:23,758 - LOGGER - ERROR - right:图片断流
2024-10-02 13:14:24,123 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:15:11,499 - LOGGER - ERROR - right:图片断流
